theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.863375 92233 8985.631314 78103 1 338 0.004327618657 240931 3.084785476 0.506 0 
12.86325 92234 8985.631314 78092 1 362 0.00463555806 240836 3.084003483 0.505 0 
12.863 92234 8985.631314 78049 0 405 0.005189047906 240616 3.082883829 0.506 0 
12.86275 92235 8985.631314 78083 1 315 0.004034168769 240013 3.073818885 0.506 0 
12.862625 92236 8985.631314 78112 2 360 0.004608766899 239573 3.067044756 0.506 0 
12.862375 92236 8985.631314 78087 0 279 0.003572937877 238895 3.059344065 0.505 0 
12.86225 92237 8985.631314 78091 -2 348 0.004456339399 238491 3.054013907 0.506 0 
12.862 92238 8985.631314 78036 6 350 0.004485109437 238205 3.05250141 0.506 0 
12.86175 92238 8985.631314 78042 0 409 0.005240767792 236771 3.033892007 0.505 0 
12.861625 92239 8985.631314 78091 -3 359 0.004597200702 236199 3.024663534 0.505 0 
12.861375 92240 8985.631314 78056 2 385 0.004932356257 234898 3.00935226 0.505 0 
12.86125 92240 8985.631314 78067 3 436 0.005584946264 234343 3.00181895 0.505 0 
12.861 92241 8985.631314 78050 0 361 0.004625240231 232871 2.983613069 0.506 0 
12.86075 92242 8985.631314 78054 -6 358 0.004586568273 231186 2.96187255 0.505 0 
12.860625 92242 8985.631314 78099 3 310 0.00396932099 230071 2.945889192 0.506 0 
12.860375 92243 8985.631314 78031 -1 413 0.005292768259 228195 2.924414656 0.506 0 
12.86025 92244 8985.631314 78026 -1 440 0.005639145926 227194 2.911772999 0.506 0 
12.86 92244 8985.631314 78065 -3 415 0.005316082752 225192 2.884673029 0.505 0 
12.85975 92245 8985.631314 78020 -3 381 0.00488336324 222670 2.854011792 0.505 0 
12.859625 92246 8985.631314 78025 -5 380 0.004870233899 221324 2.83657802 0.506 0 
12.859375 92247 8985.631314 78033 -2 440 0.005638640063 218466 2.799661682 0.505 0 
12.85925 92247 8985.631314 78046 1 553 0.007085564923 217399 2.785523922 0.506 0 
12.859 92248 8985.631314 78032 -4 433 0.005549005536 213918 2.741413779 0.506 0 
12.85875 92249 8985.631314 78040 -1 500 0.006406970784 210761 2.700679139 0.505 0 
12.858625 92249 8985.631314 78014 3 480 0.006152741816 209350 2.683492706 0.505 0 
12.858375 92250 8985.631314 78054 -2 522 0.006687677762 205625 2.634394137 0.505 0 
12.85825 92250 8985.631314 78008 -1 535 0.006858270947 204092 2.616295765 0.505 0 
12.858 92251 8985.631314 78018 4 517 0.006626675895 200233 2.566497475 0.505 0 
12.85775 92252 8985.631314 78011 0 564 0.007229749651 196613 2.520324057 0.505 0 
12.857625 92252 8985.631314 78006 -2 742 0.009512088814 194919 2.498769325 0.505 0 
12.857375 92253 8985.631314 78022 -4 790 0.01012534926 191118 2.449539873 0.506 0 
12.85725 92254 8985.631314 77997 -2 778 0.009974742618 189303 2.427054887 0.506 0 
12.857 92255 8985.631314 78024 1 953 0.01221419051 185594 2.378678355 0.506 0 
12.85675 92255 8985.631314 78000 -1 1100 0.0141025641 182753 2.342987179 0.506 0 
12.856625 92256 8985.631314 78008 1 1123 0.01439595939 180948 2.319608245 0.506 0 
12.856375 92257 8985.631314 77987 -3 1302 0.01669509021 178123 2.284008873 0.506 0 
12.85625 92257 8985.631314 78043 2 1374 0.01760567892 176913 2.266865702 0.505 0 
12.856 92258 8985.631314 78006 -1 1535 0.01967797349 174471 2.236635643 0.505 0 
12.85575 92259 8985.631314 77975 -3 1946 0.0249567169 172728 2.215171529 0.506 0 
12.855625 92259 8985.631314 77999 -3 2298 0.02946191618 171773 2.202246183 0.508 0 
12.855375 92260 8985.631314 78005 0 3067 0.03931799244 170419 2.184718928 0.506 0 
12.85525 92261 8985.631314 77986 1 3717 0.04766240094 169479 2.173197753 0.506 0 
12.855 92261 8985.631314 77991 0 5347 0.06855919273 168725 2.163390648 0.505 0 
12.85475 92262 8985.631314 77983 3 8358 0.1071772053 167734 2.150904684 0.506 0 
12.854625 92263 8985.631314 78013 -1 10563 0.1354005102 167123 2.142245523 0.508 0 
12.854375 92263 8985.631314 77952 2 17898 0.2296028325 166240 2.132594417 0.505 0 
12.85425 92264 8985.631314 77927 1 23400 0.3002810322 165652 2.125733058 0.505 0 
12.854 92265 8985.631314 78019 -2 38446 0.4927774004 165552 2.121944655 0.505 0 
12.85375 92265 8985.631314 77972 1 58340 0.7482173088 164647 2.111616991 0.505 0 
12.853625 92266 8985.631314 78006 1 69007 0.8846370792 164568 2.10968387 0.505 0 
12.853375 92267 8985.631314 77955 -2 90205 1.157141941 164041 2.104303765 0.505 0 
12.85325 92267 8985.631314 78008 2 99809 1.279471336 163812 2.099938468 0.505 0 
12.853 92268 8985.631314 77994 2 113875 1.460048209 163611 2.097738288 0.506 0 
12.85275 92268 8985.631314 77967 0 119617 1.534200367 163068 2.09150025 0.506 0 
12.852625 92269 8985.631314 77966 2 119259 1.5296283 163169 2.092822512 0.506 0 
12.852375 92270 8985.631314 78000 0 112436 1.441487179 162918 2.088692308 0.506 0 
12.85225 92270 8985.631314 77973 2 105711 1.355738525 162617 2.085555256 0.506 0 
12.852 92271 8985.631314 77943 0 89216 1.144631333 162327 2.082637312 0.506 0 
12.85175 92272 8985.631314 77940 -1 68309 0.8764305876 162201 2.081100847 0.505 0 
12.851625 92272 8985.631314 77972 5 58226 0.7467552455 162156 2.079669625 0.505 0 
12.851375 92273 8985.631314 77976 3 37471 0.480545296 161865 2.075831025 0.506 0 
12.85125 92274 8985.631314 77939 0 28902 0.3708284684 161835 2.076431568 0.505 0 
12.851 92274 8985.631314 77992 2 17488 0.224228126 161439 2.069943071 0.506 0 
12.85075 92275 8985.631314 77947 3 10669 0.1368750561 161600 2.073203587 0.506 0 
12.850625 92276 8985.631314 77951 -3 8806 0.1129684032 161311 2.069389745 0.505 0 
12.850375 92276 8985.631314 77969 3 6222 0.07980094653 161424 2.070361297 0.506 0 
12.85025 92277 8985.631314 77968 1 5362 0.06877180382 161433 2.070503283 0.505 0 
12.85 92278 8985.631314 77946 3 4168 0.05347291715 161271 2.069009314 0.506 0 
12.84975 92278 8985.631314 77963 3 3332 0.04273822198 161207 2.06773726 0.505 0 
12.849625 92279 8985.631314 77954 -2 2978 0.03820201657 160908 2.06414039 0.505 0 
12.849375 92280 8985.631314 77932 4 2514 0.03225889237 160789 2.06319612 0.506 0 
12.84925 92280 8985.631314 77965 -3 2358 0.03024434041 160929 2.064118515 0.505 0 
12.849 92281 8985.631314 77890 1 2042 0.02621645911 160828 2.064809347 0.506 0 
12.84875 92282 8985.631314 77927 2 1765 0.02264940265 160599 2.06089032 0.505 0 
12.848625 92282 8985.631314 77920 -2 1656 0.02125256674 160562 2.060600616 0.505 0 
12.848375 92283 8985.631314 77884 0 1433 0.01839915772 160589 2.061899748 0.506 0 
12.84825 92284 8985.631314 77930 1 1457 0.01869626588 160324 2.057282176 0.505 0 
12.848 92284 8985.631314 77946 0 1180 0.01513868576 160311 2.056693095 0.505 0 
12.84775 92285 8985.631314 77909 -1 1030 0.01322055218 160405 2.058876381 0.505 0 
12.847625 92286 8985.631314 77902 -2 944 0.01211778902 160158 2.055890735 0.506 0 
12.847375 92286 8985.631314 77886 0 951 0.0122101533 160352 2.058803893 0.508 0 
12.84725 92287 8985.631314 77917 3 847 0.01087054173 160231 2.056431844 0.506 0 
12.847 92288 8985.631314 77893 0 703 0.009025201238 160103 2.055422182 0.506 0 
12.84675 92288 8985.631314 77872 0 687 0.008822169714 159887 2.053202692 0.506 0 
12.846625 92289 8985.631314 77915 4 573 0.007354168004 159958 2.052980812 0.506 0 
12.846375 92290 8985.631314 77884 -2 585 0.007511170459 159994 2.054260182 0.506 0 
12.84625 92290 8985.631314 77874 -1 644 0.008269769114 159955 2.054023166 0.505 0 
12.846 92291 8985.631314 77874 -2 516 0.006626088296 160072 2.055525593 0.506 0 
12.84575 92292 8985.631314 77876 -2 406 0.0052134162 159894 2.053187118 0.505 0 
12.845625 92292 8985.631314 77873 -2 542 0.006960050338 159661 2.050274164 0.505 0 
12.845375 92293 8985.631314 77899 2 524 0.006726658879 159790 2.051245844 0.506 0 
12.84525 92294 8985.631314 77886 0 451 0.005790514341 159966 2.053847932 0.506 0 
12.845 92295 8985.631314 77853 1 449 0.00576727936 159783 2.052367924 0.506 0 
12.84475 92295 8985.631314 77845 -6 427 0.005485259169 159396 2.047607425 0.506 0 
12.844625 92296 8985.631314 77892 -2 449 0.005764391722 159672 2.049915267 0.506 0 
12.844375 92297 8985.631314 77892 1 446 0.005725876855 159735 2.050724079 0.505 0 
12.84425 92297 8985.631314 77890 1 462 0.005931441777 159740 2.05084093 0.506 0 
12.844 92298 8985.631314 77866 -3 380 0.004880178769 159516 2.048596306 0.505 0 
12.84375 92299 8985.631314 77857 1 409 0.005253220648 159626 2.050245964 0.505 0 
12.843625 92299 8985.631314 77884 1 471 0.00604745519 159648 2.049817678 0.506 0 
12.843375 92300 8985.631314 77851 2 368 0.004726978459 159493 2.048695585 0.506 0 

