theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.83725 95395 9001.884485 81132 -3 3801 0.04684957846 909805 11.21388601 0.505 0 
12.837 95396 9001.884485 81110 0 3766 0.04643077302 909808 11.21696462 0.506 0 
12.83675 95397 9001.884485 81128 -3 3770 0.04646977616 910822 11.22697466 0.506 0 
12.836625 95397 9001.884485 81098 0 3833 0.04726380429 910340 11.22518434 0.506 0 
12.836375 95398 9001.884485 81102 -1 3763 0.04639836256 909572 11.21516116 0.506 0 
12.83625 95399 9001.884485 81120 3 3888 0.04792899408 910079 11.21892258 0.506 0 
12.836 95399 9001.884485 81097 2 3887 0.04793025636 909597 11.21616089 0.506 0 
12.83575 95400 9001.884485 81096 0 3866 0.04767189504 909507 11.21518941 0.506 0 
12.835625 95401 9001.884485 81131 2 3867 0.04766365508 910116 11.21785754 0.506 0 
12.835375 95401 9001.884485 81111 1 3996 0.04926582091 910257 11.22236195 0.506 0 
12.83525 95402 9001.884485 81147 0 4031 0.04967528066 910376 11.21884974 0.505 0 
12.835 95403 9001.884485 81118 -4 4023 0.04959441801 909853 11.21641313 0.506 0 
12.83475 95404 9001.884485 81060 0 3999 0.04933382679 909315 11.21780163 0.505 0 
12.834625 95404 9001.884485 81086 -1 4146 0.05113089806 909617 11.21792911 0.505 0 
12.834375 95405 9001.884485 81058 -2 4206 0.051888771 909336 11.21833749 0.505 0 
12.83425 95406 9001.884485 81061 -3 4192 0.0517141412 910069 11.22696488 0.506 0 
12.834 95406 9001.884485 81115 -1 4230 0.05214818468 909638 11.2141774 0.506 0 
12.83375 95407 9001.884485 81085 -1 4226 0.05211814762 909925 11.22186594 0.506 0 
12.833625 95408 9001.884485 81055 0 4252 0.05245820739 909656 11.22270064 0.506 0 
12.833375 95408 9001.884485 81113 1 4492 0.05537953226 909232 11.20944855 0.505 0 
12.83325 95409 9001.884485 81091 -1 4492 0.05539455673 909790 11.21937083 0.506 0 
12.833 95410 9001.884485 81053 1 4513 0.05567961704 909517 11.22126263 0.506 0 
12.83275 95410 9001.884485 81006 -1 4634 0.05720563909 909244 11.22440313 0.505 0 
12.832625 95411 9001.884485 81062 3 4836 0.05965803953 909593 11.22095433 0.506 0 
12.832375 95412 9001.884485 81098 1 4910 0.06054403315 909652 11.21670078 0.506 0 
12.83225 95412 9001.884485 81057 -3 4972 0.06133955118 909741 11.22347237 0.505 0 
12.832 95413 9001.884485 81065 0 5111 0.06304817122 909423 11.21844199 0.506 0 
12.83175 95414 9001.884485 81057 2 5468 0.0674587019 909415 11.21945051 0.506 0 
12.831625 95414 9001.884485 81095 1 5664 0.06984401011 909189 11.21140638 0.506 0 
12.831375 95415 9001.884485 81066 3 6029 0.07437149977 909384 11.21782251 0.505 0 
12.83125 95416 9001.884485 81018 -3 6187 0.07636574588 909308 11.22353057 0.506 0 
12.831 95416 9001.884485 81073 1 6799 0.08386269165 909734 11.22117104 0.506 0 
12.83075 95417 9001.884485 81082 -1 7491 0.09238795294 909214 11.21351225 0.506 0 
12.830625 95418 9001.884485 81069 1 7936 0.09789191923 909894 11.22369833 0.506 0 
12.830375 95419 9001.884485 81018 -2 8806 0.1086918956 909048 11.22032141 0.505 0 
12.83025 95419 9001.884485 81052 0 9272 0.1143956966 909017 11.2152322 0.505 0 
12.83 95420 9001.884485 81027 2 10606 0.1308946401 909687 11.22696138 0.506 0 
12.82975 95421 9001.884485 81059 4 12227 0.1508407456 909009 11.21416499 0.506 0 
12.829625 95421 9001.884485 81034 -2 13151 0.162289903 909193 11.21989535 0.506 0 
12.829375 95422 9001.884485 81053 1 15693 0.193614055 908315 11.20643283 0.506 0 
12.82925 95423 9001.884485 81065 1 17137 0.2113982607 909073 11.21412447 0.505 0 
12.829 95423 9001.884485 81057 -1 20973 0.2587438469 908988 11.21418261 0.506 0 
12.82875 95424 9001.884485 81064 2 26614 0.328308497 909261 11.21658196 0.505 0 
12.828625 95425 9001.884485 81037 5 30576 0.3773091304 909446 11.22260202 0.506 0 
12.828375 95425 9001.884485 81035 2 41332 0.5100512124 909246 11.22041093 0.505 0 
12.82825 95426 9001.884485 81015 0 49028 0.6051718818 908407 11.21282479 0.506 0 
12.828 95427 9001.884485 81030 -1 69432 0.8568678267 908913 11.21699371 0.506 0 
12.82775 95427 9001.884485 81057 5 98580 1.216181206 909409 11.21937649 0.506 0 
12.827625 95428 9001.884485 80986 1 116269 1.435667893 908355 11.21619786 0.505 0 
12.827375 95429 9001.884485 81020 1 155940 1.924709948 908377 11.21176253 0.505 0 
12.82725 95429 9001.884485 81015 1 176123 2.17395544 908343 11.21203481 0.506 0 
12.827 95430 9001.884485 81010 -1 210323 2.596259721 908803 11.21840514 0.505 0 
12.82675 95431 9001.884485 80997 2 234278 2.892428115 908582 11.21747719 0.506 0 
12.826625 95431 9001.884485 80985 0 239958 2.962993147 908726 11.22091745 0.506 0 
12.826375 95432 9001.884485 80985 6 238792 2.948595419 907397 11.20450701 0.506 0 
12.82625 95433 9001.884485 81035 -1 231579 2.857765163 908457 11.2106744 0.505 0 
12.826 95433 9001.884485 81007 0 208342 2.571901194 907419 11.20173565 0.506 0 
12.82575 95434 9001.884485 81019 -3 175325 2.163998568 908268 11.21055555 0.505 0 
12.825625 95435 9001.884485 80980 0 157895 1.94980242 907938 11.21187948 0.505 0 
12.825375 95435 9001.884485 81000 -3 119846 1.479580247 908713 11.21867901 0.505 0 
12.82525 95436 9001.884485 80984 4 101697 1.255766571 908399 11.21701818 0.505 0 
12.825 95437 9001.884485 80971 1 70936 0.8760667399 908462 11.21959714 0.506 0 
12.82475 95437 9001.884485 80986 0 47051 0.580976959 908768 11.22129751 0.506 0 
12.824625 95438 9001.884485 81077 -1 38932 0.4801855027 908389 11.20402827 0.505 0 
12.824375 95439 9001.884485 80995 2 26796 0.3308352367 908893 11.22159393 0.506 0 
12.82425 95440 9001.884485 81020 -1 22881 0.2824117502 908493 11.21319427 0.506 0 
12.824 95440 9001.884485 80971 4 17569 0.2169789184 908652 11.22194366 0.505 0 
12.82375 95441 9001.884485 80958 1 14278 0.1763630524 908409 11.22074409 0.505 0 
12.823625 95442 9001.884485 80942 2 13056 0.1613006844 908634 11.22574189 0.506 0 
12.823375 95442 9001.884485 80965 -1 11055 0.1365404805 909373 11.23168036 0.505 0 
12.82325 95443 9001.884485 80971 -2 10314 0.1273789381 908664 11.22209186 0.506 0 
12.823 95444 9001.884485 80940 2 8976 0.1108969607 908317 11.22210279 0.506 0 
12.82275 95444 9001.884485 80915 -1 8203 0.1013779892 908168 11.2237286 0.505 0 
12.822625 95445 9001.884485 80962 4 7755 0.09578567723 908872 11.22590845 0.505 0 
12.822375 95446 9001.884485 80983 -3 7120 0.08791968685 908719 11.22110813 0.506 0 
12.82225 95446 9001.884485 80930 1 6872 0.08491288768 908024 11.21986902 0.505 0 
12.822 95447 9001.884485 80962 4 6369 0.07866653492 908180 11.21736123 0.505 0 
12.82175 95448 9001.884485 80954 5 6023 0.0744002767 908035 11.21667861 0.506 0 
12.821625 95448 9001.884485 80924 2 5864 0.07246305175 908331 11.22449459 0.505 0 
12.821375 95449 9001.884485 80914 2 5447 0.06731838742 908167 11.22385496 0.505 0 
12.82125 95450 9001.884485 80955 0 5286 0.06529553456 908296 11.21976407 0.505 0 
12.821 95450 9001.884485 80958 3 5173 0.06389732948 907978 11.21542034 0.506 0 
12.82075 95451 9001.884485 80927 -2 4943 0.06107973853 908084 11.22102636 0.505 0 
12.820625 95452 9001.884485 80917 -2 4915 0.06074125338 908221 11.22410618 0.507 0 
12.820375 95452 9001.884485 80906 1 4677 0.05780782637 908182 11.22515017 0.505 0 
12.82025 95453 9001.884485 80902 1 4601 0.05687127636 908353 11.22781884 0.505 0 
12.82 95454 9001.884485 80887 0 4588 0.05672110475 908322 11.22951772 0.506 0 
12.81975 95454 9001.884485 80961 -3 4429 0.05470535196 907704 11.21162041 0.505 0 
12.819625 95455 9001.884485 80931 2 4326 0.05345294139 907893 11.21811172 0.505 0 
12.819375 95456 9001.884485 80938 -1 4147 0.05123674912 908065 11.2192666 0.505 0 
12.81925 95457 9001.884485 80866 2 4234 0.05235822224 908042 11.22897138 0.506 0 
12.819 95457 9001.884485 80909 5 4206 0.05198432807 908416 11.2276261 0.505 0 
12.81875 95458 9001.884485 80880 -1 4161 0.05144658754 907057 11.21484916 0.506 0 
12.818625 95459 9001.884485 80947 -1 4116 0.05084808578 908287 11.22076173 0.505 0 
